County,FIPS code[1],County seat[2],Est.[2],Origin,Etymology[3][4],Population[2],Area[2],Map
Adams County,001,Quincy,1825,Pike County,"John Quincy Adams (1767–1848), sixth President of the United States","65,691","855 sq mi(2,214 km2)",
Alexander County,003,Cairo,1819,Union County,"William M. Alexander, settler and state representative in the Illinois General Assembly","6,060",235 sq mi(609 km2),
Bond County,005,Greenville,1817,"Crawford County, Edwards County, and Madison County","Shadrach Bond (1773–1832), first Governor of Illinois","16,630",380 sq mi(984 km2),
Boone County,007,Belvidere,1837,Winnebago County,"Daniel Boone (1734–1820), trailblazer of the Wilderness Road in Kentucky","53,577",280 sq mi(725 km2),
Brown County,009,Mount Sterling,1839,Schuyler County,"Jacob Brown (1775–1828), successful War of 1812 army officer responsible for Great Lakes defenses","6,556",305 sq mi(790 km2),
Bureau County,011,Princeton,1837,Putnam County,"Pierre de Bureo, Frenchman, North American fur trader","32,993","869 sq mi(2,251 km2)",
Calhoun County,013,Hardin,1825,Pike County,"John C. Calhoun (1782–1850), South Carolina senator and seventh Vice President of the United States","4,802",253 sq mi(655 km2),
Carroll County,015,Mount Carroll,1839,Jo Daviess,"Charles Carroll of Carrollton (1737–1832), signed the Declaration of Independence on behalf of Maryland","14,312","445 sq mi(1,153 km2)",
Cass County,017,Virginia,1837,Morgan County,"Lewis Cass (1782–1866), second governor of Michigan Territory, fourteenth United States Secretary of War","12,260",375 sq mi(971 km2),
Champaign County,019,Urbana,1833,Vermilion County,"Champaign County, Ohio, which took its name from the French for ""open level country""","209,983","996 sq mi(2,580 km2)",
Christian County,021,Taylorville,1839,Sangamon County,"Christian County, Kentucky, which was itself named after Colonel William Christian","32,661","709 sq mi(1,836 km2)",
Clark County,023,Marshall,1819,Crawford County,"George Rogers Clark (1752–1818), highest-ranking officer in the Northwest Territory during the American Revolution","15,596","501 sq mi(1,298 km2)",
Clay County,025,Louisville,1824,"Wayne, Lawrence, Fayette, and Crawford County","Henry Clay (1777–1852), Kentucky legislator who negotiated the Missouri Compromise","13,253","468 sq mi(1,212 km2)",
Clinton County,027,Carlyle,1824,"Washington, Bond, and Fayette County","DeWitt Clinton (1769–1828), Governor of New York, responsible for the construction of the Erie Canal","37,639","474 sq mi(1,228 km2)",
Coles County,029,Charleston,1830,Clark and Edgar County,"Edward Coles (1786–1868), second Governor of Illinois, responsible for the abolition of slavery in Illinois","50,885","508 sq mi(1,316 km2)",
Cook County,031,Chicago,1831,Putnam County,"Daniel Pope Cook (1794–1827), politician and first Attorney General of Illinois","5,180,493","944 sq mi(2,445 km2)",
Crawford County,033,Robinson,1816,Edwards County,"William H. Crawford (1772–1834), ninth United States Secretary of War, seventh Secretary of the Treasury","18,807","443 sq mi(1,147 km2)",
Cumberland County,035,Toledo,1843,Coles County,"Disputed: Cumberland Road, which entered the county; Cumberland, Maryland; or Cumberland River in Kentucky","10,808",345 sq mi(894 km2),
DeKalb County,037,Sycamore,1837,Kane County,"Johann de Kalb (1721–1780), German soldier in the Continental Army who fought alongside Gilbert du Motier, marquis de Lafayette","104,143","631 sq mi(1,634 km2)",
DeWitt County,039,Clinton,1839,Macon and McLean County,"DeWitt Clinton (1769–1828), Governor of New York, responsible for the construction of the Erie Canal","15,769","397 sq mi(1,028 km2)",
Douglas County,041,Tuscola,1859,Coles County,"Stephen A. Douglas (1813–1861), prominent Illinois Democrat who engaged in debates with Abraham Lincoln","19,479","416 sq mi(1,077 km2)",
DuPage County,043,Wheaton,1839,Cook County,DuPage River,"928,589",327 sq mi(847 km2),
Edgar County,045,Paris,1823,Clark County,"John Edgar (c. 1750–1832), Illinois delegate to the Northwest Territory legislature; at the time, wealthiest man in Illinois","17,360","623 sq mi(1,614 km2)",
Edwards County,047,Albion,1814,Gallatin County and Madison County,"Ninian Edwards (1775–1833), third Governor of the State of Illinois and only governor of the Illinois Territory","6,392",222 sq mi(575 km2),
Effingham County,049,Effingham,1831,Fayette and Crawford County,"Thomas Howard, 3rd Earl of Effingham, military officer who resigned from the British Army to avoid fighting the American colonies","34,208","478 sq mi(1,238 km2)",
Fayette County,051,Vandalia,1821,"Bond, Wayne, Clark, Jefferson, and Crawford County","Gilbert du Motier, marquis de Lafayette (1757–1834), French military officer who was a key factor in the American and French Revolutions.","21,416","716 sq mi(1,854 km2)",
Ford County,053,Paxton,1859,Vermilion County,"Thomas Ford (1800–1850), eighth Governor of Illinois; served during the Illinois Mormon War","13,264","485 sq mi(1,256 km2)",
Franklin County,055,Benton,1818,White County and Gallatin County,"Benjamin Franklin (1706–1790), prolific writer, inventor, and politician; key factor in the American Revolution","38,701","408 sq mi(1,057 km2)",
Fulton County,057,Lewistown,1823,Pike County,"Robert Fulton (1765–1815), inventor of the steamboat","34,844","865 sq mi(2,240 km2)",
Gallatin County,059,Shawneetown,1812,Randolph County,"Albert Gallatin (1761–1849), fourth and longest-serving United States Secretary of the Treasury","5,058",322 sq mi(834 km2),
Greene County,061,Carrollton,1821,Madison County,"Nathanael Greene (1742–1786), major general in the Continental Army","13,044","543 sq mi(1,406 km2)",
Grundy County,063,Morris,1841,LaSalle County,"Felix Grundy (1777–1840), Tennessean senator who served as the thirteenth United States Attorney General","50,972","418 sq mi(1,083 km2)",
