id,anomalous_pix_perc,cloud_cover,origin_x,origin_y,acquired,strip_id\n
20170915_165841_0f32,0,0,669486,4417107,2017-09-15T16:58:41.341741Z,757950
20170915_170037_0f36,0,0,654357,4431285,2017-09-15T17:00:37.346806Z,756983
20170915_170039_0f36,0,0,651318,4444611,2017-09-15T17:00:39.2551Z,756983
20170915_170040_0f36,0,0,649797,4451268,2017-09-15T17:00:40.209247Z,756983
20170919_170011_1049,0,0.01,639528,4406391,2017-09-19T17:00:11.980192Z,768415
20170919_170014_1049,0.01,0.11,634704,4426731,2017-09-19T17:00:14.870608Z,768415
20170920_165834_0f24,0,0,670476,4464228,2017-09-20T16:58:34.912068Z,771542
20170924_170035_0f32,0.03,0.06,616989,4425801,2017-09-24T17:00:35.385448Z,782702
20170926_165923_1043,0,0.01,630579,4412439,2017-09-26T16:59:23.954805Z,789056
20170926_165930_1043,0,0.22,619815,4460367,2017-09-26T16:59:30.827181Z,789056
20171002_165715_0f4b,0,0,656211,4439151,2017-10-02T16:57:15.703357Z,807015
20171017_160857_0f12,0,0.25,677985,4418781,2017-10-17T16:08:57.10586Z,845212
20171018_165734_0f2e,0,0,615393,4419216,2017-10-18T16:57:34.049296Z,847145
20171019_165713_104d,0,0,615366,4414149,2017-10-19T16:57:13.218566Z,849685
20171019_165717_104d,0,0,609120,4441683,2017-10-19T16:57:17.125506Z,849685
20171019_165719_104d,0,0,606108,4455330,2017-10-19T16:57:19.078976Z,849685
20171020_161146_1006,0,0,648339,4433760,2017-10-20T16:11:46.709392Z,852007
20171020_165513_0f2d,0,0.17,653028,4415967,2017-10-20T16:55:13.011176Z,851998
20171021_160932_100b,0,0.03,655341,4433043,2017-10-21T16:09:32.630404Z,854798
20171021_160936_100b,0,0.01,649416,4403520,2017-10-21T16:09:36.84966Z,854798
20171021_161056_0f51,0,0,638220,4424874,2017-10-21T16:10:56.272615Z,854799
20171021_161147_0f31,0,0,623082,4462314,2017-10-21T16:11:47.546466Z,854537
20171021_161148_0f31,0,0,621615,4455000,2017-10-21T16:11:48.59335Z,854537
20171021_165718_0f2e,0,0,613221,4409802,2017-10-21T16:57:18.15635Z,854511
20171023_165536_0f2d,0,0.03,631548,4430268,2017-10-23T16:55:36.032929Z,859468
20171023_165537_0f2d,0,0.14,628413,4443828,2017-10-23T16:55:37.984881Z,859468
20171025_161225_101b,0,0,623190,4460685,2017-10-25T16:12:25.796233Z,864286
20171025_161226_101b,0,0,621684,4453494,2017-10-25T16:12:26.834766Z,864286
20171025_161228_101b,0,0,618792,4439010,2017-10-25T16:12:28.911832Z,864286
20171025_165352_104c,0,0,667641,4431615,2017-10-25T16:53:52.624783Z,864310
20171026_160912_1014,0,0,667647,4439685,2017-10-26T16:09:12.539604Z,866652
20171026_165546_1_0f2d,0,0,618345,4431399,2017-10-26T16:55:46.979338Z,866632
20171026_165550_0f2d,0,0,612141,4458777,2017-10-26T16:55:50.883094Z,866632
20171031_160934_0f18,0,0.18,656355,4440891,2017-10-31T16:09:34.993105Z,878518
20171031_160940_0f18,0,0.12,649176,4404726,2017-10-31T16:09:40.186825Z,878518
20180915_161912_1105,0.01,0.01,609627,4456362,2018-09-15T16:19:12.026269Z,1703762
20181016_162452_1015,0,0,632715,4411497,2018-10-16T16:24:52.346098Z,1776236
20181018_162159_0e2f,0,0,628293,4432548,2018-10-18T16:21:59.925368Z,1774701
20181018_162200_0e2f,0,0,626802,4425231,2018-10-18T16:22:00.958741Z,1774701
20181018_162203_0e2f,0,0,623877,4410621,2018-10-18T16:22:03.025484Z,1774701
20181018_162301_0f51,0,0,672855,4406652,2018-10-18T16:23:01.106333Z,1774440
20181020_155920_1051,0,0,669018,4447524,2018-10-20T15:59:20.215092Z,1779408
20181020_155921_1051,0,0,667422,4454229,2018-10-20T15:59:21.169821Z,1779408
20181020_160157_0f2a,0,0,617598,4414875,2018-10-20T16:01:57.194997Z,1778869
20181020_160158_0f2a,0,0,615945,4421538,2018-10-20T16:01:58.149201Z,1778869
20181020_160159_0f2a,0,0,614616,4427934,2018-10-20T16:01:59.103405Z,1778869
20181020_160200_0f2a,0,0,612861,4434888,2018-10-20T16:02:00.057609Z,1778869
20181020_160201_0f2a,0,0,609891,4447905,2018-10-20T16:02:01.966542Z,1778869
20181020_162243_1024,0,0,673614,4455516,2018-10-20T16:22:43.664145Z,1778946
20181020_162419_103e,0,0,647841,4454388,2018-10-20T16:24:19.907927Z,1778948
20181021_162343_102e,0,0,670887,4441380,2018-10-21T16:23:43.493445Z,1781445
20181021_162526_1040,0,0,629238,4423071,2018-10-21T16:25:26.059391Z,1781628
